Player,Games Played,Starts,Subbed off,Minutes Played,Passes,Passing Acc,Long Passes,Long Pass Acc,Pass per 90,Forward Passes,Backward Passes,Left Pass,Right Pass,Passing Acc Opponents Half,Passing Acc Own Half,Assists,Key Passes,Crosses,Crossing Acc,Shots,Shots on Target,Goals,Right Foot Goals,Left Foot Goals,Heading Goals,Other,Goals In Box,Goals Out Box,Free Kick Goals,Conversion Rate,Mins Per Goal,Clears,Blocks,Interceptions,Tackles,Tackles Won,Duels,Duels Won,Air Duels,Air Duels Won,Yellow Cards,Red Cards,Fouls Won,Fouls Conceded,Goals Conceded,Shot At,Saves,Save Rate,Clean Sheets,Catches,Punches,Drops,Penalties Saved,Clearances,Team,Subbed on
Mobi Fehr,7.0,7.0,1.0,601.0,394.0,88.6,33.0,75.8,59.0,115.0,73.0,116.0,90.0,79.5,96.8,0.0,3.0,5.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,13.0,6.0,59.0,26.0,13.0,8.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Las Vegas Lights FC,0.0
Pablo Cruz,8.0,5.0,2.0,485.0,203.0,88.2,26.0,53.8,37.7,63.0,42.0,38.0,60.0,75.6,95.2,1.0,16.0,9.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,40.0,20.0,10.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Las Vegas Lights FC,3.0
Preston Tabort Etaka,7.0,3.0,0.0,371.0,82.0,74.4,3.0,66.7,19.9,25.0,19.0,29.0,9.0,53.6,93.8,0.0,5.0,22.0,4.5,14.0,6.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,14.3,185.5,0.0,1.0,1.0,4.0,4.0,57.0,24.0,15.0,10.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Las Vegas Lights FC,4.0
Samuel Ochoa,3.0,1.0,0.0,115.0,27.0,74.1,0.0,0.0,21.1,4.0,9.0,6.0,8.0,71.4,83.3,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,50.0,115.0,1.0,0.0,1.0,0.0,0.0,13.0,7.0,9.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Las Vegas Lights FC,2.0
Thomas Olsen,8.0,8.0,0.0,720.0,209.0,69.9,123.0,49.6,26.1,136.0,0.0,42.0,31.0,41.7,88.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Las Vegas Lights FC,0.0
Abraham Rodriguez,4.0,4.0,0.0,360.0,118.0,56.8,80.0,36.3,29.5,89.0,0.0,16.0,13.0,26.7,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,28.0,20.0,71.4,0.0,0.0,3.0,0.0,2.0,9.0,Colorado Springs Switchbacks FC,0.0
Alexander Molano,8.0,4.0,4.0,337.0,162.0,80.2,19.0,47.4,43.3,56.0,30.0,45.0,31.0,70.8,87.2,0.0,12.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,36.0,13.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,4.0
Andre Rawls,2.0,2.0,0.0,180.0,51.0,45.1,41.0,31.7,25.5,44.0,0.0,6.0,1.0,29.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0,6.0,85.7,1.0,2.0,1.0,0.0,0.0,1.0,Colorado Springs Switchbacks FC,0.0
Andre Shinyashiki,1.0,1.0,0.0,90.0,22.0,77.3,2.0,100.0,22.0,8.0,8.0,2.0,4.0,65.0,83.3,0.0,1.0,3.0,33.3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,13.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,0.0
Clint Irwin,2.0,2.0,0.0,180.0,65.0,72.3,30.0,40.0,32.5,43.0,0.0,12.0,10.0,26.1,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,Colorado Springs Switchbacks FC,0.0
César Romero,6.0,2.0,2.0,245.0,43.0,79.1,6.0,16.7,15.8,8.0,12.0,6.0,17.0,69.7,91.7,0.0,3.0,2.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,245.0,1.0,0.0,2.0,5.0,3.0,39.0,20.0,6.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,4.0
Ibrahim Yaro,7.0,4.0,2.0,385.0,211.0,65.9,48.0,39.6,49.3,123.0,20.0,54.0,14.0,52.2,82.4,0.0,3.0,9.0,22.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,9.0,6.0,49.0,24.0,25.0,13.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,3.0
Ismaila Jome,8.0,8.0,0.0,720.0,284.0,83.1,46.0,52.2,35.5,106.0,46.0,8.0,124.0,65.1,87.3,1.0,10.0,25.0,16.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12.5,720.0,27.0,2.0,9.0,8.0,7.0,72.0,49.0,12.0,7.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,0.0
